AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,AgeuponOutcomeInMonths,OutcomeMonth
A718832,Nia,1/15/16 17:31,Adoption,,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White,6,1
A698777,Chloe,3/25/15 18:50,Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan,60,3
A715348,Cymbale,11/21/15 13:01,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby/White,2,11
A708666,Jax,7/30/15 14:30,Return_to_owner,,Cat,Neutered Male,7 years,Russian Blue Mix,Blue,84,7
A718535,,1/1/16 13:57,Euthanasia,Suffering,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico,36,1
A707341,Murphy,7/15/15 15:25,Transfer,Partner,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White,4,7
A682532,,7/3/14 17:01,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,2,7
A666825,Jesse,11/8/13 13:24,Return_to_owner,,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black,60,11
A699723,Delgado,4/11/15 16:01,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown,36,4
A668626,,12/6/13 14:55,Euthanasia,Suffering,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow,36,12
A657085,Pony Boy,10/24/13 11:22,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White,36,10
A682413,,7/2/14 13:37,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White,2,7
A702655,Mica,8/11/15 0:00,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White,4,8
A707503,,7/14/15 12:16,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.75,7
A697199,Pilar,4/4/15 17:26,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby,84,4
A705598,,6/23/15 13:25,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,2,6
A668388,Lucy,12/9/13 15:04,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby,2,12
A671181,,1/21/14 15:15,Transfer,SCRP,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White,48,1
A676766,Ali,5/28/14 15:52,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White,24,5
A686716,Chester,8/27/14 7:50,Return_to_owner,,Dog,Neutered Male,12 years,Beagle,Tricolor,144,8
A684475,Daisy,8/5/14 11:15,Return_to_owner,,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black,108,8
A701804,,5/5/15 11:46,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black,0.75,5
A697852,Edith,3/9/15 17:57,Adoption,,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown,5,3
A666092,,10/30/13 15:37,Euthanasia,Aggressive,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White,72,10
A684050,,7/28/14 9:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,12,7
A710107,Caty,10/19/15 18:58,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,3,10
A682347,,6/26/14 17:16,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White,0.75,6
A701627,Gabe,5/14/15 12:07,Adoption,,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White,24,5
A690902,Beth,11/18/14 16:05,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White,2,11
A712979,,10/4/15 15:02,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black,0.25,10
A707687,Bashful,8/16/15 13:52,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,2,8
A683443,,7/18/14 16:23,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan,12,7
A597644,Lola,9/16/14 14:05,Return_to_owner,,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black,48,9
A682784,Sugar,7/7/14 12:38,Adoption,,Dog,Neutered Male,2 years,Dachshund/Beagle,Brown/White,24,7
A709863,Orangejello,8/19/15 13:32,Transfer,Partner,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White,12,8
A678506,Prec Punkin',5/9/14 18:07,Euthanasia,Suffering,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black,132,5
A713029,Wilma,10/6/15 15:07,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,1,10
A712236,Bella,9/23/15 11:45,Adoption,,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White,24,9
A683961,,7/17/14 17:31,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,0.5,7
A714740,Chiquita,10/27/15 18:32,Return_to_owner,,Dog,Spayed Female,6 years,Maltese Mix,White,72,10
A691847,Hero,12/8/14 15:53,Transfer,Partner,Dog,Neutered Male,6 months,Pointer Mix,Black/White,6,12
A711392,Molly,9/8/15 15:31,Transfer,Partner,Dog,Intact Female,2 months,English Foxhound,Buff,2,9
A705258,,6/16/15 9:00,Transfer,SCRP,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby/White,2,6
A678172,Bella,5/10/14 18:18,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red,12,5
A676736,Chili,4/30/14 17:55,Adoption,,Dog,Neutered Male,2 months,Vizsla Mix,Brown,2,4
A701575,Hastings,1/29/16 14:53,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,24,1
A674913,,3/25/14 18:15,Adoption,,Dog,Spayed Female,3 years,German Shepherd/Great Pyrenees,White,36,3
A706446,Tootsie,8/18/15 11:32,Return_to_owner,,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,12,8
A669540,Snookie,12/28/13 16:17,Return_to_owner,,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Blue/Tan,48,12
A709371,Abby,8/19/15 14:28,Transfer,Partner,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan,24,8
A681410,Nym,6/22/14 17:22,Adoption,,Cat,Spayed Female,3 months,Domestic Longhair,Brown Tabby,3,6
A675021,,3/21/14 17:09,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,12,3
A704179,Zeus,6/7/15 16:07,Adoption,,Dog,Neutered Male,2 months,Chow Chow/Pit Bull,Black,2,6
A717839,,12/20/15 19:38,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White,24,12
A700740,Charlie,12/17/15 12:10,Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Shorthair,White,12,12
A712376,,9/22/15 12:10,Euthanasia,Suffering,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby,0.5,9
A703952,Taco,5/30/15 18:56,Transfer,Partner,Cat,Unknown,4 weeks,Siamese Mix,Seal Point,1,5
A713690,,10/12/15 9:00,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby,24,10
A691838,Avaddon,2/9/15 17:17,Euthanasia,Suffering,Dog,Neutered Male,12 years,Pit Bull Mix,Brown Brindle,144,2
A687789,,9/14/14 18:51,Adoption,,Dog,Neutered Male,1 year,Dachshund/Beagle,Brown/White,12,9
A704754,Arthur,7/18/15 15:37,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,2,7
A707531,,7/14/15 15:04,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black,0.5,7
A677594,,4/26/14 18:00,Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White,3,4
A667155,,11/18/13 15:56,Adoption,,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Calico,3,11
A717147,Freeway,12/15/15 14:16,Adoption,,Dog,Neutered Male,5 months,Plott Hound Mix,Brown Brindle/White,5,12
A687012,Chloe,2/7/16 14:54,Adoption,,Dog,Spayed Female,3 years,Boxer/Great Dane,Black,36,2
A676200,Georgia,4/10/14 11:49,Transfer,Partner,Dog,Spayed Female,7 years,Lhasa Apso,White/Black,84,4
A676680,Hero,2/6/15 18:56,Euthanasia,Aggressive,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan,24,2
A688443,Thelma,12/29/14 15:11,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black,4,12
A715261,Darcy,11/15/15 14:06,Adoption,,Dog,Spayed Female,9 years,Beagle/Treeing Walker Coonhound,White/Brown,108,11
A717008,Taz,12/6/15 15:12,Transfer,Partner,Dog,Neutered Male,7 months,Border Collie Mix,Black/White,7,12
A683416,,7/14/14 19:28,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,2,7
A690658,,10/24/14 9:00,Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black/White,36,10
A695155,,1/14/15 16:18,Adoption,,Dog,Neutered Male,3 years,Border Terrier Mix,Gray,36,1
A679721,Poppy,5/29/14 17:43,Adoption,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White,60,5
A719113,Dexter,1/28/16 12:05,Transfer,Partner,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White,60,1
A665298,,10/16/13 11:50,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue,0.5,10
A708351,,7/26/15 14:40,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,0.5,7
A670681,Matty,1/30/14 14:41,Transfer,Partner,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie,48,1
A699990,Chubbs,4/8/15 18:06,Return_to_owner,,Dog,Neutered Male,4 years,Cairn Terrier Mix,Tan/White,48,4
A707767,Lilly,7/19/15 18:27,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2,7
A668362,Minnie,12/20/13 12:02,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan,24,12
A674577,Santiago,3/23/14 18:43,Adoption,,Dog,Neutered Male,2 years,Dogo Argentino Mix,White,24,3
A674802,Franklin,3/29/14 11:26,Return_to_owner,,Dog,Neutered Male,9 years,Dachshund Mix,Black/Brown,108,3
A672410,Myles,2/11/14 18:16,Return_to_owner,,Dog,Neutered Male,5 years,Beagle Mix,Tricolor,60,2
A657753,Wiz,12/6/13 16:53,Euthanasia,Aggressive,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White,12,12
A663339,Abby,10/20/13 16:37,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White,24,10
A678229,,5/6/14 15:59,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.75,5
A698694,Boss,7/6/15 15:48,Transfer,Partner,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown,5,7
A695971,,1/26/15 16:23,Euthanasia,Suffering,Cat,Intact Male,6 years,Domestic Shorthair Mix,Orange Tabby,72,1
A674233,Missy,3/22/14 15:38,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan,12,3
A713392,Basil,11/5/15 0:00,Transfer,Partner,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/White,3,11
A713968,Katydid,10/24/15 18:29,Transfer,Partner,Cat,Intact Female,1 month,Domestic Longhair Mix,Calico,1,10
A701428,Kiki,5/3/15 16:59,Return_to_owner,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown,36,5
A676146,Desmo,4/14/14 17:00,Return_to_owner,,Dog,Neutered Male,5 years,Dachshund Mix,Black,60,4
A679259,Pablo,5/26/14 11:22,Adoption,,Dog,Neutered Male,8 years,Miniature Schnauzer/Miniature Poodle,Black,96,5
A688223,,9/21/14 14:15,Adoption,Offsite,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White,2,9
A691968,,11/14/14 11:57,Euthanasia,Suffering,Cat,Intact Female,7 years,Domestic Shorthair Mix,Tortie,84,11
A688871,Pandora,10/3/14 18:43,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black,2,10
A674530,Jackson,9/11/14 17:03,Adoption,,Dog,Neutered Male,5 years,Pit Bull,Black,60,9
A718604,Watson,1/31/16 17:22,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown,12,1
A686520,,8/24/14 9:00,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,3,8
A699094,Levon,3/22/15 18:40,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White,24,3
A394547,Snickerdoodl,1/25/15 11:15,Return_to_owner,,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate/White,108,1
A662685,Lola,10/22/15 17:18,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Red/White,36,10
A713977,Jumbly,10/26/15 18:39,Return_to_owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico,36,10
A707781,Pearl,1/15/16 14:03,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White,12,1
A694699,Pebbles,1/9/15 15:28,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan,24,1
A696350,Minnie,12/15/15 17:30,Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle,12,12
A679102,Merlin,6/10/14 16:41,Transfer,Partner,Cat,Neutered Male,2 years,Siamese Mix,Flame Point,24,6
A698341,Parsley,5/16/15 15:19,Return_to_owner,,Dog,Spayed Female,2 years,Tibetan Terrier Mix,Brown,24,5
A681481,,6/18/14 9:00,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White,24,6
A714177,,10/20/15 9:00,Transfer,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Tortie,3,10
A689601,Abby,11/23/14 18:55,Adoption,Foster,Dog,Spayed Female,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor,1,11
A685062,,8/5/14 13:20,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,2,8
A672453,,2/16/14 19:38,Adoption,Offsite,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Cream Tabby,10,2
A719480,Ricky,2/9/16 16:31,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby/White,24,2
A702880,Tom,6/28/15 15:33,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico,2,6
A714494,Amarillo,11/1/15 19:11,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow,6,11
A711853,Nala,11/7/15 19:14,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,2,11
A688720,,9/26/14 18:09,Adoption,,Dog,Spayed Female,1 year,Dachshund Mix,Tan,12,9
A689690,Winnie,10/22/14 14:37,Transfer,Partner,Dog,Intact Female,6 months,Dachshund Mix,Brown/White,6,10
A679915,Luna,6/1/14 17:48,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,12,6
A687991,,9/12/14 18:38,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico,0.75,9
A707896,Tokyo,2/19/16 14:58,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,24,2
A702014,Diamond,11/14/15 13:30,Adoption,,Dog,Spayed Female,11 months,Blue Lacy Mix,Blue/White,11,11
A673626,,3/3/14 16:58,Transfer,Partner,Dog,Neutered Male,3 months,Rat Terrier Mix,Tricolor,3,3
A652097,Minnie,2/10/14 12:34,Return_to_owner,,Dog,Spayed Female,2 years,Dachshund Longhair,Brown,24,2
A685180,Neville,9/27/14 12:25,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Red,24,9
A707442,Conrad,8/15/15 11:32,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White,24,8
A682599,Shiva,7/3/14 18:45,Adoption,,Cat,Spayed Female,4 months,Domestic Longhair,Calico,4,7
A685452,,8/11/14 15:17,Transfer,Partner,Dog,Intact Female,4 months,Dachshund/Chihuahua Shorthair,Red,4,8
A688067,,9/15/14 9:00,Transfer,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,Torbie,5,9
A714069,Jupiter,12/16/15 11:28,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Tabby/White,2,12
A705924,Nero,7/29/15 15:41,Transfer,Partner,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Brown/White,84,7
A717167,Oscar,1/23/16 16:05,Adoption,Foster,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White,48,1
A711639,,9/10/15 11:35,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie/Calico,0.75,9
A716760,Dasher,12/6/15 17:08,Adoption,,Dog,Neutered Male,6 months,Border Collie Mix,Black/White,6,12
A709048,Libby,8/8/15 17:58,Adoption,,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White,5,8
A719048,Gracie,1/13/16 11:43,Return_to_owner,,Dog,Spayed Female,8 years,Maltese,White,96,1
A707437,,7/19/15 17:26,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,2,7
A706387,Sugar,7/6/15 18:05,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue Tabby/White,1,7
A720668,,2/15/16 18:30,Return_to_owner,,Dog,Spayed Female,5 months,Labrador Retriever Mix,White,5,2
A679341,Jethro,5/31/14 13:58,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,1,5
A690519,,10/23/14 9:00,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue Tabby,4,10
A708769,Keyla,8/1/15 11:54,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan,12,8
A681462,Samson,8/10/14 16:25,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Rottweiler,Black/Brown,24,8
A666444,August,11/4/13 15:50,Transfer,Partner,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Tortie,132,11
A701153,,6/25/15 9:31,Adoption,Foster,Dog,Neutered Male,2 months,Dachshund/Manchester Terrier,Tricolor,2,6
A710071,Herb,9/1/15 0:00,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black,2,9
A714602,Stripey,10/29/15 18:44,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby,2,10
A700707,Sallie,4/20/15 14:41,Adoption,,Dog,Spayed Female,1 month,Plott Hound/Labrador Retriever,Black/Brown Brindle,1,4
A702563,Klo Dog,5/25/15 11:26,Return_to_owner,,Dog,Spayed Female,7 years,Chihuahua Shorthair/Rat Terrier,White/Tan,84,5
A679441,,5/21/14 13:47,Transfer,Partner,Cat,Intact Male,4 days,Domestic Shorthair Mix,Cream Tabby/White,0.133333333,5
A715729,Milo,11/9/15 13:24,Return_to_owner,,Dog,Neutered Male,4 years,Siberian Husky,White/Gray,48,11
A716575,Scarlet,12/22/15 0:00,Transfer,Partner,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Tan/White,24,12
A714462,Pebbles,11/14/15 13:26,Return_to_owner,,Dog,Spayed Female,1 year,Pointer Mix,White/Black,12,11
A717429,Cairo,12/9/15 17:05,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,24,12
A687336,,9/3/14 18:51,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Brown Tabby,1,9
A713364,Calypso,11/13/15 11:53,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White,12,11
A701999,Luna,5/12/15 17:39,Adoption,,Dog,Spayed Female,2 years,Yorkshire Terrier/Miniature Poodle,Tan/Silver,24,5
A664304,,10/3/13 12:27,Transfer,SCRP,Cat,Intact Male,10 months,Domestic Shorthair Mix,Orange Tabby,10,10
A698066,Diva,3/7/15 12:50,Transfer,Partner,Dog,Spayed Female,4 years,German Shepherd Mix,White,48,3
A680585,Olivia,7/16/14 17:48,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White,4,7
A699715,Ashley,5/13/15 11:51,Transfer,Partner,Dog,Spayed Female,6 years,Catahoula/Labrador Retriever,White/Tan,72,5
A702246,,5/15/15 17:47,Adoption,,Dog,Spayed Female,9 months,Miniature Poodle Mix,Black/White,9,5
A711918,Jaqueline,9/19/15 14:33,Adoption,,Dog,Spayed Female,3 years,Jack Russell Terrier/Pit Bull,Red,36,9
A676430,Tabitha,11/23/14 12:43,Adoption,,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Torbie,8,11
A677577,Roxie,5/1/14 16:12,Adoption,,Dog,Spayed Female,10 months,Queensland Heeler/Shetland Sheepdog,Red Tick/Black,10,5
A683666,,9/1/15 0:00,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Cream Tabby,12,9
A713754,Harper,10/27/15 16:44,Adoption,,Dog,Neutered Male,1 year,Catahoula Mix,Blue Merle,12,10
A703631,Hanley,7/3/15 18:50,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,12,7
A676209,Boomer,7/24/14 15:02,Adoption,Foster,Dog,Neutered Male,3 months,Labrador Retriever Mix,Yellow,3,7
A667508,Brownie,11/19/13 18:30,Return_to_owner,,Dog,Intact Male,6 years,Chihuahua Shorthair Mix,Chocolate/Tan,72,11
A671105,,1/21/14 15:20,Transfer,SCRP,Cat,Unknown,1 year,Domestic Longhair Mix,Black,12,1
A676056,Swisha,4/10/14 10:13,Return_to_owner,,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White,24,4
A667963,,11/30/13 18:48,Adoption,,Dog,Spayed Female,5 years,Dachshund Longhair Mix,Tan/White,60,11
A702207,,5/10/15 17:16,Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Longhair Mix,Orange Tabby/White,144,5
A672065,Dutchess,4/8/14 12:50,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Sable,24,4
A688852,Buddy,10/18/14 18:48,Adoption,,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black/White,72,10
A705885,Meowser,6/27/15 18:24,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,3,6
A670949,Cassie,2/1/14 11:13,Return_to_owner,,Dog,Spayed Female,8 months,Doberman Pinsch Mix,Tricolor,8,2
A665666,Teddy,12/27/13 15:49,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black,12,12
A714575,Isis,10/31/15 15:18,Transfer,Partner,Cat,Intact Female,15 years,Domestic Shorthair Mix,Black,180,10
A690480,,10/22/14 17:46,Transfer,Partner,Dog,Intact Female,3 weeks,Pointer Mix,Chocolate/White,0.75,10
A691636,Dali,11/13/14 16:07,Adoption,,Dog,Neutered Male,5 months,Dachshund/Jack Russell Terrier,White/Brown,5,11
A678482,,5/14/14 19:15,Adoption,,Dog,Neutered Male,2 years,Miniature Poodle/Miniature Schnauzer,Black/White,24,5
A687785,Bella,12/30/14 9:38,Adoption,Foster,Dog,Spayed Female,2 years,Whippet Mix,Brown Brindle/White,24,12
A716839,Dino,11/27/15 14:06,Return_to_owner,,Dog,Intact Male,2 years,Australian Shepherd Mix,Brown Merle/White,24,11
A718547,,1/11/16 14:23,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White,24,1
A687989,,9/12/14 18:38,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico,0.75,9
A694408,Emma,5/28/15 13:14,Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Tiger/White,12,5
